body,sarcasm
"So when your God killed all of the helpless, little first borns in Egypt he too was another baby-killing liberal? You are very amusing and naive.",1
"Since animals can operate them, gun owners obviously need sufficient training to make sure they are used safely. It seems they need a lot more. On the other hand, the problem is largely self-limiting, since the cretinous owner either dies or hopefully learns from their stupidity once they recover from their injuries.",1
"HELLO!! THAT'S WHY!! Then we see the standard dance of how innocent and objective science really is.   6) And the standard ""theistic evolution"" dance. Atheistic evolutionists can't get along without it! I wonder if Kenneth Miller will see the movie, and comment on it. I wonder if he'd have refused to be a part of it.",1
So what else is new? Does Texas support the death penalty?,1
"If we did not have criminals, we wouldnt have ""shoot outs"" as you so call them.",1
"I think you and my ten year old could really connect.   Happy Easter, Jim. You really are one of my favorite conservatives.",1
"Mehhh.... You probably went to a Catholic school.   But now that you've stopped 'devoting' your 'life' to the God of the Bible, you've 'devoted' yourself to another god, Yourself. Typical case.",1
"Perfect. A creationists caught repeating the same refuted arguments on different forums. Resistance is met, run like a coward to another forum.",1
Actually quite a common name in South America... but I know what you mean.,1
So how can evilutionists have any confidence in carbon dating if they keep updating the calibration curve? Huh?,1
"So what? A person has a right to defend themselves, as spelled out in the Constitution.   Or would you rather the 80 year old just get beaten to death for his $262?   Or maybe you'd feel better if he'd suffered the same fate as the home invader over in Maryland. He made the mistake of breaking and entering into a student house and was slaughtered with a sword.   And what point are you trying to make anyway? It's not like the 80 year old went on a killing spree of anything. Nobody got murdered. So what're you moaning about?",1
"So, how many kids do you have?   And, do you know their names? What they like to do?   It doesn't sound like you've been much of a dad if all you did is providing for them. Did you watch TV sports the rest of the time?",1
"If you are open minded enough to consider an opposing point of view, Maybe one day you and I can debate those claims. But if you are a typical drive by post and run away ""choicer?"" I wouldn't be interested.   I digress!   The purpose of this thread (as I understand it) was for people to introduce themselves and say a little about their position. The purpose of this thread was not to debate our differences. I'll not respond to any more ""baiting"" of that sort in this thread. If you have questions about the details of my views, I will gladly answer those. As I may have some questions about yours.",1
"Try the ( Law of Common Sense) . If your an ex-atheist, you already know the ( Law of Relativity ).",1
"Rather unsurprisingly, the U.S. constitution does not have any bearing on Australian law.",1
"Except that it does nothing of the sort... But then, what can we expect from somebody citing a website trying to sell you liquid vitamin supplement...   Nevertheless, we look into the Pottenger's cats claim.   Here is a page called, ""Lesson of the Pottenger's Cats Experiment: cats are not humans."" Although it's a page aimed at explaining why this ""experiment"" is not applicable to humans, it exposes the other, erm, flaws in this experiment. The one striking me based on the wikipedia list of diets for the groups should be obvious to everyone: many of these cats were being deprived of protein. This page confirms and elaborates. In fact, its first point is that today's cats have no problem reproducing for several generations on today's cooked food. The difference is that good owners don't feed their pets deficient diets.   The real irony here is that this experiment -- were it reliable -- would be the antithesis of supersport's Lamarckism. In order for supersport to be supported, the cats being fed inadequate diets would re-develop those broken pathways for manufacturing essential amino acids. Obviously, they did not. The only thing we see here is the effect of poor (i.e. positively malnutritive) diet.   We can conclude that supersport's Morton's demon is pretty much in full control. There's no other explanation for somebody seeing this experiment and thinking it supports Lamarckism, or even counters evolutionary theory, even if he doesn't know the basics of experimentation and nutrition.",1
"Argh. Atheism is no belief in a god, ""without belief in god"". Why would you try to prove a negative? Did you wake up today and believe in a UNI because you couldn't prove it didn't exist?   Richbee has a long way to go to ""prove"" anything other than his fondness for rhetoric.   -Mach",1
"Wouldn't it be wonderful if, in this male-centered world, drugs were designed to be women-friendly, especially pregnant women-friendly?",1
"Yes, the university one is quite possibly the most nonsensical. I will never understand why people seem to think that the mere presence of a weapon makes it somehow more likely that there is going to be a problem. I have lots and lots of guns, right here at my house. Last year, the murder rate at my house was 0. I think that we can most likely maintain the same this year.   What school are you at?",1
You mean like a tapeworm? Should removing tapeworms be illegal too?,1
"Is this a rational statement? If so, prove it rationally, by science.",1
"So you've got nothing to offer but a whining rant? Just because you don't like it, doesn't mean that the evidence doesn't exist.   By the way, why don't you offer some reliable evidence to support your foolish claims above. Creationist web sites don't do it for me. Peer reviewed literature please.",1
Really? I don't think you know what you are talking about. Please provide evidence to back your claim. Thanks.,1
And you are proud of that?,1
How do you know?,1
"**   It's up to you. Stop bringing up red herrings and/or arguing by personal attack, or don't expect me to treat your posts with any less contempt than I have for most of what's been posted to this board.",1
"Oh, good, I get to do this again! They're not Christians, just like Judge Jones isn't a Lutheran. (Your foot should still be in your mouth over that one, but you never learn.) They're all phonies, aren't they, marc? Lucky for marc, he can accurately assess people's belief systems without knowing the slightest thing about their beliefs. But I have this ""power,"" too:marc is an atheist. Sure, he says all this fundie Christian stuff, but he's really an atheist. I know it in my heart because my own belief system, infallible and based upon the teachings of God himself, tells me so. I know, because I know Christians, and marc's not a Christian. He's just a big phony.   And there you go... atheist. Clearly, I've correctly labeled you, and you are nothing but a false teacher.Pathetic, marc. Absolutely, positively pathetic.",1
"Just to be pedantic, a better analogy would be: ""If you are here, why do you have brothers and sisters?""",1
When's the last time you heard of someone being killed by the accidental discharge of a fire extinguisher? Or when the last time a fire extinguisher was stolen from a home and then used in the commission of a crime? And don't you think the likelihood of being in a car accident is greater than that of being required to shoot someone?,1
"No. Perhaps some effort into educating yourself would be appropriate. I presume that you expected a yes answer and your next question would have been, ""why are there still monkeys/apes?""   I sincerely request that you look at all of the skulls in the following two pictures. Please give me your opinion as to what each of these may be and how they came about. Please be aware that ""GAWD DID IT"" is laughable. I am aware that you are usually free from thought, but please make an exception and think about your answers.   http://home.houston.rr.com/bybayouu/skulls.html   http://home.houston.rr.com/bybayouu/skulls2.html",1
"So which is it: the action is moral, the action is immoral, or there is no answer? You seem confused.",1
"Not!   OK, too short, Not!",1
"Ladling out the guilt again, Maximus?   Don't forget take a large helping for yourself.",1
"So, how many unborn babies did your God drown in Genesis? Talk about hypocrisy.",1
"Just helping something live doesn't affect evolution unless it affects the ability to reproduce viable offspring.   If there was no nylon before the 1940s and there is an organism that can survive by eating NOTHING else, what does that tell you? There could not have been a population of nylon-eating bacteria before 1940. This is a new population that did not exist before.",1
http://www.talkorigins.org/indexcc/list.html   Somehow merely clicking the link makes you look like a hypocrite.,1
"You go to hell when you do not ask for FORGIVENESS from your sins and ask Christ to govern your life and help you to stop sinning. I am still a sinner, but I am forgiven and I ask Christ daily to help me with my fleshly desires.",1
"Actually, it makes sense only to you. If you look at nature for just a little while, you willl become aware of a great deal of death. But it is mostly very economical since scavengers make sure that there is minimal waste.",1
"Oh my goodness. This is a trick called semantics.   I guess you got sucked in.   Yes, abortion is used as contraception unfortunately.",1
"Oh? Since you are so inquisitive about my medical procedures, would you like the readout of my last yearly physical? My cholesterol levels? Whether or not my blood sugar content was high?",1
"But I suppose the Pope is going to hell   Here is a link to a website that has a brief list of translational fossils, there are gaps but that could mean that we have yet to find those fossils, or we have found them but no one has made the link yet.   You also keep stating that evolution is theory, we all agree it is still a theory but it is the most plausible theory that fits the evidence found that Evolution is the most likely mechanism to explain that we have lots of different species, to condense it to the real basics just think of it as the ancestry of the species.(Apologies for condensing the Theory into those small sentences could be here forever explaining Evolution )   N.B Evolution does not mention how life started, there is another Scientific Theory on the Origin of life on Earth, but I can not think of it at this moment.   Hunter it is really not good form on a message board when debating a subject to say someone is going to hell because they don't agree with your viewpoint, present your evidence why you believe that evolution is incorrect and we can have a proper debate.",1
So if everyone had a sign on them and a water pistol then would you be happier or does everyone need to have a gun? Should everyone who has a gun have a sign as well? Is the deterrent of a gun diminished without the sign?   I'm also not going to address my brother in every single post. He is a shining example of why I don't like guns but that doesn't mean I'm going to talk about him constantly.,1
"you know what..you are right, any unwanted person should be killed. Lets start with nursing homes and then move on to mental health clinics. After that, we should kill all the poor people because they don't really help society that much. OH! and don't forget the handicapped...who would wanna live like that? Kill them...it is merciful...who cares what they want anyway, they don't know what they are saying. Then we will have a wonderful society",1
"Target shooting and handgun hunting, for starters. There's also self-defense, although not many people seem to have a great desire to defend themselves.   If there's no legal use for a handgun, then why do all those cops carry them?",1
That's great for women!   What about the rights of their children?,1
"Well, this guy is so bad ad arguing and so good at alienating people that if we sent him into the abortion forum, it is likely, he'd be so ineffective at defending his pro-life position thathe'd actually be contributing to the pro-choice position...",1
"Oh, I get it. So you believe, but you don't exactly ""believe"".",1
OH FREE MARKET???? IM goin to take the embryos and fetuses slain in abortion centers and turn it into a new food source and sell it at the grocery store!!!!!!!!!!!!!!!!,1
"Oh.. that makes sense. Because, it sounds exactly like modern day republicans.",1
"Good. The less moronic ""spirituality"" in each state the better. Let's move out of the dark ages as fast as we can.",1
"So both daughters get daddy ******, shag him and get pregnant. And considering that God smites people for just about anything and everything in the Bible, he seems silently approving in this case.",1
So they're failing because they're XXXXXX?,1
60% accepting Roe v Wade is a high figure don't you think? More people support abortion then the president.,1
Go do a Google search and find out.   How many babies have you supported killing?,1
"Well, at some point they are sentient beings(surely you agree), that's the point that the fetus becomes a person in my opinion. Before that it's not really too bad. I don't have a problem with people ""having sex in an improper way"" or choosing to ""screw each other how they would like to screw each other"". I do have a problem with people creating a feeling being and then killing it, as is the case when fetuses become sentient and are aborted. You also say that it is my opinion, which it is, but it is also your opinion. You have said that women who have abortion because they arn't responsible are making bad decisions.   First off, it's not punishment, it's taking responsibility for your actions. I have addressed the men, this is what I'm talking about, it was in my last post. Are you really reading the my posts? I said ""They(men) should have to raise the child also as they are equally to blame"". If I could take some of the birthing pain from women and give it to mwn, I would. The bottom line is that women know that if pregnancy occurs their will be pain, yet some do not protect themselves against it. Why would it then be my responsibility to take that pain into account? They accepted the risk when the didn't try to protect against it.   Yeah, like the one that I addressed the men in, right?   I have never said that we should punish 12 year old orphans. Show me where I said that. I said that the parents should help raise the child if they have the means. Would that put a slight damper on the 12 year olds social life? Probably, but she will be an adult soon enough and she should take some responsibility for her actions. The father should have to do the same. Why do you admit that the actions of the 25 year old are tragic but you don't want her to take responsibility?   How does being poor limit your responsibility to protect yourself? I know a poor woman who has 10 kids just hoping that one day she would find a man that would be willing to help raise the rest. Also, what do you mean by ""less fortunate? It never happened but she kept having kid after kid and hoping it would. Should she be excused for her behavior because she is poor? No, she kept going to BARS looking for good men. Bad choices = bad outcome. Do you think that this is proof that abortion is necessary? Nope, abortion IS NOT the answer in cases like this, only responsibility can solve the problem. The bad thing is that only one of the men do anything for the children and he doesn't do enough. She has never filed for child support and the kids are almost never disciplined.   I don't want to do anything as far as laws are concerned. I would recommend that she and the father raise the child, but sadly that may not happen. I will just continue to have pity for all of the irresponsible ""lovers"" out there.",1
"Try the link. You've done the 'name calling', at least you could be honest about what you are doing.",1
"hey, watch yourself.........watch it..",1
"Zardozy, honey, whushoo gotta b'lieve in?   You related to that Frenchie guy with the skinny wife?",1
"I'm not going to go into what is wrong with the idea of God without knowing it is what we mean we speak the word.   Excuse me if I am mistaken, but it seems that you are getting defensive on your belief before I even begin a debate. I'm simply looking for any one wishing to participate on the nature / existance of God.   If you find my questions to be complete nonsense and that I'm only here to critize theism than you need not participate.   thebootfitter,",1
"It's sophomoric remarks like that that hurt the gay cause in America.   God isn't mocked, though. And I doubt the people are either.   And I'm glad California outlawed the sin. The only thing you have left is to hope the far left, spiritually-stunted judges in the US Supreme Court are pro Sodom and Gomorrah.",1
"In other words, the author seems to think that because Mendel didn't know about genes mutating, we must continue to believe they don't.   Complete and utter nonsense from beginning to end.",1
"So sorry, I was trying to figure out why God lets some women down, and yet favored you. I always assumed it was a mixture of physiology, luck, etc. Sometimes bad things happen, sometimes good things happen. But you claimed God was the one who saw you through and made sure your daughter was born healthy and functional...So, again, in a similar situation (trust in God, doctors say baby will be born damaged, etc), if it turns out the doctors were right, is God to blame for letting me down? Or was it, in fact, just the way things are sometimes?   Or does God just randomly hear some prayers, but not others? No, no...lemme guess. ""God has a plan for us all""?",1
Since always?,1
"Well he can defend his tax difficulties by claiming he is a creationist and thus cannot be trusted with quantitative processes involving a bit of mathematics. Then again he can tell IRS that GOD will provide and they should contact Bush to get Gods cell number. I am sure that IRS, GOD, and Hovind can work it all out.",1
"No, I for one dislike your posts because I know you intentionally write irrational posts to help support your religious cause.   Just for the record montalban, basically every single legitimate scientist is ""pro-evolution"". Creation theory is not taught in public schools, not by chance, but because...*gasp* it's RELIGIOUS MUMBO JUMBO. There is no evidence to support it. Creation fiction has made no progress with it's ""faith-based"" (lackofevidence) with rational people.   And I'll also say that I'd welcome ad hominem over irrational thinking any day. Ad hominem is just a lack of patience, or someone who doesn't care to hide their emotion or opinion. Irrational thinking on the other hand is often only cured by death. Someone guilty of ad hominem can still hold a rational debate. The irrational..well, why bother?   -Mach",1
"Actually, they have. But only Leviticus and Numbers.",1
"Sorry did I say pacifist?I meant yellow bellied pacifist.However if its any consolation, I meant anti's in general not just you Sinj.sorry if it sounded that way.",1
And the man who impregnated the woman should walk away totally free of all responsibility!   Spoken just like an total misogynist!,1
"If we were to debate whether God made us perfect as he could have, then of course we can make the point that he obviously doesn't exist.",1
I see you know nothing about the subject...hardly a surprise.,1
It is impossible to read something that can't be found.,1
Oh damn it...and I was going to sell this joke and retire!,1
"So the radiometric data stand: the Earth, moon, and older meteorites are all 4 or so billion years old, not just a few thousand.   Changing Decay Rates?   Another Creationist attempt to counter radiometric dates that are incompatible with their young-Earth religious position is to claim that decay rates are not constant, thereby throwing a monkey wrench into the calculations. There are at least two problems with this argument.   First, it is not at all clear how varying decay rates could result in multiple decay sequences all agreeing on the age of an object. Remember, for example, the oldest exposed rocks on earth, dated using different parent radioisotopes? All five of the decay sequences (Rb-Sr, Pb-Pb, U-Pb, Th-Pb, and Lu-Hf) clustered right around 3.7 billion years. If decay rates vary enough to throw off dates by billions of years, why would they vary in exactly the way needed to consistently produce the same results?   Second, radioactive decay of nuclei is not comparable to chemical reactions. In chemistry, the rate at which chemical reaction proceeds can be altered in a number of ways, such as by changing the temperature, acidity, pressure, or reactant concentrations. Such changes, however, have essentially no effect on nuclear decay. In fact, experimental attempts to alter decay rates have been made, but failed.",1
"the cricket in the pliers feels pain...   When you start to squeeze a cricket with a pair of pliers, it starts to wiggle and tries to get away so as not to get crushed by the pliers. Is it because the cricket feels pain?",1
Raw Data: Past Deadly U.S. Mass Shootings - Local News | News Articles | National News | US News - FOXNews.com   That's just the most egregious mass shooting in the good old US of A.,1
Because you are a Darwinist - this predictible insult testifies to my rightness.   Your approval/compliments would of supported my wrongness.   Ray M.,1
And I would appreciate your refraining from calling your mythology a theory.,1
"It's kind of funny that they claim this happened, but can't get the woman to come out and say it?",1
"Well let me say that so far that you haven't been doing a very good job. My arguments are completely solid, and you haven't even gotten close to refuting them. You accuse me of being stupid because my mom watched star trek, you refute my arguments by providing the defonition of masturbation and periods, and then you call me illogical and tell me to think about my statements more deeply.   [quote]You said that you can only abort in the first and second trimester, which I already know. But saying that you don't exsist in these stages is a huge misstatement.[quote]   Let me rephrase that. The beginnings of my body existed. What you know as ""me"" the person who's saying this, did not exist. My brain, which is really ""me"" did not exist.",1
You should refrain from calling others arrogant Mr. Kettle.,1
You made the claim. Another lie from the radical cheap seats!,1
"Hey thanks for the ""edited/out of context sermon."" Peter was rebuked for interfering with the plans of God. Oh . . . Christ never said to throw the sword away. . . ""put it away"" means put it away in the sheath.   Mark 8: 31 And He began to teach them that it is necessary for the Son of man to suffer many things and to be rejected of the elders and chief priests and scribes, and to be killed, and after three days to rise again. 32 And He spoke the word openly. And taking Him aside, Peter began to rebuke Him. 33 But turning around and seeing His disciples, He rebuked Peter, saying, Go behind Me, Satan, because you do not mind the things of God, but the things of men. 34 And calling near the crowd with His disciples, He said to them, Whoever desires to come after Me, let him deny himself and take his cross, and let him follow Me. 35 For whoever desires to save his life, he shall lose it. But whoever shall lose his life for My sake and the gospel, that one shall save it. 36 For what shall it profit a man if he gain the whole world, yet damage his soul? 37 Or what shall a man give as an exchange for his soul? 38 For whoever may be ashamed of Me and My words in this adulterous and sinful generation, the Son of man will also be ashamed of him when He comes in the glory of His Father, along with the holy angels.   Matt 26: 47 And as He was yet speaking, behold, Judas came, one of the Twelve. And with him was a numerous crowd with swords and clubs, from the chief priests and elders of the people. 48 And the one betraying Him gave them a sign, saying, Whomever I may kiss, it is He; seize Him. 49 And coming up at once to Jesus, he said, Hail, Rabbi. And he ardently kissed Him. 50 But Jesus said to him, Friend, why are you here? Then coming up, they laid hands on Jesus and seized Him. 51 And, behold, one of those with Jesus, stretching out the hand, drew his sword and struck the slave of the high priest and took off his ear. 52 Then Jesus said to him, Put your sword back into its place. For all who take the sword shall perish by a sword. 53 Or do you think that I am not able now to call on My Father, and He will place beside Me more than twelve legions of angels? 54 How then should the Scriptures be fulfilled, that it must happen this way?",1
"So, it was a form of birth control?",1
"Doesn't matter if they ""give it up"" or not. They don't legally issue death certificates for abortions. Imagine that. Death certificates are ONLY issued to once living persons. OH WAIT!!! I think we just proved that a ZEF is not a ""person""",1
"Really?   If ""nature"" meant for all things to reproduce through heterosexual methods then maybe all other forms of reproduction would not exist, hmm. They would have been ""eliminated"" because heterosexuality is far superior. Think again. The majority of organisms on this planet reproduce using binary fission (bacteria dividing), asexual reproduction (there goes your ""individual gratification argument), and zygotic reproduction. None of these things require sexes of any type.   Even animals that have ""normal"" sexual reproduction can reproduce using a process known as parthenogenesis, in which only a female is required to produce offspring (turkeys and lizards do this). If homosexuality isn't natural or is inferior, then why do we see examples of it in nature. The bonobo (closely related to the chimpanzee) exhibits heterosexual and homosexual activity in both genders in the wild, and the bonobo and humans share a very common ancestor.   Look, you can't say that one way of reproduction is ""the standard"" since it is clear that different species reproduce in a variety of ways. You also can't say that homosexuality is a disorder if you follow your previous logic that what is ""natural"" is valid. Also, you said that heterosexuality is superior because it has a ""greater purpose"". By implying that something has a purpose, you stray from the realm of Science by assuming a teleology. If you want to assume that things were given ""purpose"" by some higher being, that's fine, but you'll have to stick to religion to defend your argument. In science, it is impossible to assume a purpose. For example, what is the purpose of a river? To flow to the ocean? To carve a canyon? To carry sediment? You can say what something is good at doing, or what it does, but you cannot say what it was ""made"" for (purpose) without implying some grand design that can be easily provided by your local religion. As for hetero and homosexuality, it can be said that heterosexuals are better at producing offspring than homosexuals. Does that automatically make heterosexuality superior based on the arbitrary criterion of number of offspring produced? So in the eyes of a value system that believes that something is valued higher that creates more offspring or ""life"", heterosexuality would be superior. But in the eyes of science and reason, your argument doesn't hold water.",1
So if I come and insult and demonize you or somebody you love - you might still consider me a good person?,1
So can women can cure themselves? Is that what you mean? Or do you mean that once they forgive themselves they can move on to help other women do the same?   thanks in advance...,1
"Quick question -   What particular qualification of Dr. Olson's makes his opinion on the subject superior to all others?   Given your fondness for posting this essay of his (in his entirety) as your ultimate justification, that should be an easy one for you.   Waxy",1
"And secondly, it's a bit rich for them to call it murder when a blastocyst can turn into a tumour.   And oncologists murder tumours all the time...",1
Look at Hawaiian Honeycreepers. Willful ignorance is a way of life.   http://www.answers.com/topic/hawaiian-honeycreeper-1,1
"Wow, make up your mind. Either populations change over time (evolve) or they don't.   Would your wingless beetles be able to produce wings again if they were somehow beneficial again? You are starting to sound like Darwin and his finches.",1
"Say hello to my little friend! We the people, through our State Governments!",1
"Oh dear, you are one of those people: a ""twit absolutist"" as you might say. Please keep your silly ""ism"" labels to yourself.   ""Moral relativist"" is like ""rectangular square"": it's a tautology.",1
Because none of these issues were raised in the Heller case!   What's the matter with people like you! Your statement is like claiming that the Supreme Court obviously thinks abortion is alright because they didn't address the issue during the Heller case.,1
"Oh, OK then.",1
"So your answer to the question then is ""Nothing"", Marc?",1
"I loved this part:   So Miller says that ID is less worthy, scientifically, than even Young Earth Creationism!!!!!!!!!!!!!!!!!!!!!!!!!!",1
"Me, too. I'd probably throw in some counseling as well, just for starters.",1
Wow ehat a brave new world you live in.... Now lets say just 1% of all gun owners resisted (in the us that is several hundred thousand peppered through the land). With media attention to such infighting between government and citizens how do you deal with this?,1
"And of course, the theory of gravity isn't ""physically"" proven either. Neither is the heliocentric theory or atomic theory or the germ theory of disease. However, evolution has been observed to occur and the current theories are the best explanations that we have for the observations. As far as your mangling of the ""Out of Africa"" theory, it would be nice if you actually learned what you are talking about before you babble such nonsense.",1
"There ya go, Tither, three guys out of several hundred thousand?",1
Just when you think WW's debating skills can't get any worse...,1
"So if Jitobear's mother had the option to abort Jitobear in utero, you want Jitobear to have the same option with any children she carries? That's awfully progressive of you.",1
Neither are yours. *GEE* *gasp* *amazement* *realization*   thistownwilleat-,1
"probably because this is an abortion forum and not a forum about the Iraq War..not only that, there is no parallel.",1
Bob!!!! You're bad!!!!,1
"So the real victim here is that society won't be as you WANT it to be, and that's the real ""casualty"" here...   Wow!",1
I see you still don't understand what a strawman is. It is hard to have a strawman when the comment wasn't directed at any particular claim....,1
"Translation = ""I've closed my brain off and I've got not nothing.""",1
"http://www.nytimes.com/2009/09/27/ma...27tools-t.html   In other words, a lot of these kids never grow up.   And then they get guns.   And, did I mention the hormone was testosterone?",1
"What makes you think I don't. Yours is not the only religion on earth!! And I didn't just jump to the concluision that your soul needed concern, so don't jump to it with me.",1
"Tiger is entitled. Because of his money and fame, he's entitled to some hot and not-so-hot action.",1
"Oddly enough, the Mass constitution reads:   Article XVII. The people have a right to keep and to bear arms for the common defence. And as, in time of peace, armies are dangerous to liberty, they ought not to be maintained without the consent of the legislature; and the military power shall always be held in an exact subordination to the civil authority, and be governed by it.   So apparently they came to their senses later.",1
"wow....there is a real person under there. Good luck on your recovery, chemist.",1
Did you get another cracker polly?,1
"And amusingly enough, you who claim you don't have any interest in changing the outcome spend soooo much time posting on these threads...   Perhaps that's another claim that's just false in your opinion?",1
But will you listen?,1
I believe they got XXXXXX at all the conservates on this board. So they went and joined a commie discussion board where they feel more welcome and can send congrats to each other for being smarter than regular people.,1
"Interesting how the study was set in Pittsburgh, Pennsylvania. They're a city known for violence and gang-related issues. I wouldn't be the least bit surprised if those that were shot and counted in this ""study"" were known gang members who were either shot by their intended victims, or by other rival gang members.",1
Well any group or individual not spouting left-tard drivel is actually a hate group. The military is of such low intellect that they are easy to sway into hate groups. Hence the homeland insecurity warning on returning veterans.,1
"So you're claiming that you ""transformed"" from part of your mother to a human. So you're claiming that you were once almost your mom's arm or leg? lol! Biologically, this is simply a farce statement.",1
"And that's why I think you are a troll. There really aren't any experts here. There are several who are knowledgable in a variety of topics, but that knowledge seems to me to be the result of being both educated and widely read. It also indicates an ability to reason and an open mind.",1
"Actually the defending of ATF wouldn't do much with regular guns since they have little to do with them. ATFs function is with NFA guns, which you probably know little, or nothing about.",1
"Well, I haven't mutated into some other species last time I checked.",1
"So, in your scenario, Prototype, are you anti-choice folk going to force us who believe in choice, who believe that a woman owns her very own body, are you going to place us in re-education jails so that we, too, believe that a fertilized egg is a human being?",1
"Do you have any evidence that this is so? Why would they be totally useless - is it just because you can't imagine a use?   Why do you think that a small, quick dinosaur with relatively long arms (not like the short useless arms of T. rex that couldn't even reach its mouth) with three very sharp claws would be useless? Look at this picture.   http://research.amnh.org/vertpaleo/feather18.jpg   Those don't look like totally useless masses to me. The problem is that you imagine that wings sprouted from nothing and must have been useless until they were fully formed as you think they should be. That's not the case. They didn't spring from nothing as useless masses. They were the front limbs, with quite impressively clawed, grasping hands. They could have even been used for climbing, as is the case of hoatzins that have claws on their wings until they get their primary flight feathers. The could have been used for grasping food that they were able to catch because of the speed assist from imprefectly formed wings.   You propose yet another ""I just can't imagine how it happened so it must not be true"" creationist argument.",1
"On the contrary, the wet dreams of those slavering over these appalling British figures miss the fact that bad as they are, those 3 or 4 more murders in the USA per hundred thousand population equates to your likelihood of being murdered there as at least ten times higher than in that dangerous place Britain. Suck on that.",1
"Wow, you PROVED the Big Bang to be a big dud? I didn't see this clear refutation of a longheld scientific theory written up in any of the peer reviewed scientific journals. I must have overlooked it. Can you give the reference to your article?",1
So cross jurisdictional escort is a fairly common occurrence in the area. You will note that it is not the local cops talking about not being informed....it is the author of the article whining about it.,1
"I thought I'd give Brady and Penfold a chance to tell us what a bad man this guy was for defending himself like that.   BTW, here in Alaska he didn't need to have a concealed carry permit. Here, if you can legally own a gun you can carry it with a few exceptions.   Merry Christmas",1
"Hit that one right on the head, Symbiote. I'd like to hear supersport's response to this.",1
Of course we can ignore all the emotional and physical problems women lose when terminating a pregnancy.,1
It's usually easier to take the immoral path. Stealing's easier than working. Lying's easier than telling the truth. Being a deadbeat parent is easier than being a good parent. The list goes on and on.,1
We DID learn about selective hearing in health class.,1
"joke ( P ) Pronunciation Key (jk)   n.   Something said or done to evoke laughter or amusement, especially an amusing story with a punch line.   A mischievous trick; a prank.   An amusing or ludicrous incident or situation.   Informal.   Something not to be taken seriously; a triviality: The accident was no joke.   An object of amusement or laughter; a laughingstock: His loud tie was the joke of the office.   Calm down, kid.",1
"You were asked to give us your explanation of evolution. So far you've just regurgitated creationist arguments against it, without showing that you actually understand what you're arguing against. But instead of trying to answer the question that was asked of you, you just spat out some more quotes. The least you could have done was to use quotes that explained evolution as you percieve it, but they're not even on topic, going on about morality and atheism! You continue to confirm your ignorance for us.",1
"Well, I see that Hunter continues with his intentional ignorance. Even though it has been explained to him on several occasions, he still chants his ""evolution is only a theory"" mantra in hopes that his audience will be as ignorant as he.   Yes, evolution is a theory. In science that means that it has been tested and accepted as essentially correct. Evolution is a theory just as gravity is a theory - several in fact; Newtonian gravity, general relativity, and quantum gravity. None of those theories actually work in all situations.   But for all practical purposes, evolution has been proven. That's easy since evolution has been observed and the theories are build on the facts of those observations.   You will notice that Hunter hasn't proven any of his assertions. He just knows that there are talking snakes, and magical beings that make people out of dirt. Sure - go ahead and start with the Bible so you can get the mythology of two different creation stories, an impossible flood, and such fantasies as a man being swallowed by a whale or the any human would know about a god that wagers with Satan, out of the way. Not only will you find no proof to support the Bible, you won't evern find any evidence.",1
Have you seen who our current President is?,1
"Oh no, it's not too complex for us to understand. So please explain to we simpletons how Intelligent Design is nothing more than animism. But first, here is the truth regarding this newest perverse propaganda you are promoting.",1
"Well Spam&amp;Scram is certainly the strangest of the anti-evolution crowd I've come across. He even proclaims that animals change as fact, not something that Creationists concede lightly.   He claims to know very little then decides he knows it all... (OK that's more like a Creationist.)   It might be intresting to see what happens if he came into contact with Creationists.",1
"And that is more likely than a magical being who poofed everything from nothing, don't you agree?",1
"Interesting how the study was set in Pittsburgh, Pennsylvania. They're a city known for violence and gang-related issues. I wouldn't be the least bit surprised if those that were shot and counted in this ""study"" were known gang members who were either shot by their intended victims, or by other rival gang members.   Blah, blah, blah.   Stop throwing out discredited and biased stories. Explain in your own terms, exactly how having a gun makes you more likely to be shot. Explain the mechanics of how this works. Go on and try, make some sense rather than cherry picking poorly executed ""studies"" that prove nothing.   You made the claim that if you have a gun in your possession, this fact magnifies your chances of somehow being shot. What you suggest can only happen if magic somehow exists, like the legally-owned guns sends out powerful magnetic waves to attract the criminals and hypnotizes them to shoot in a situation that they normally wouldn't shoot.",1
Could you avoid your constant use of strawman`s fallacies please?,1
Quote from your appeal to authority:   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
"So, we on this board aren't receptive to your proselytizing? Sorry about that. This particular forum is intended to be a scientific discussion, based on logic and evidence. We certainly don't want to waste your time. The door is over there. I find your dismissive, superior attitude to be offensive, to be honest., so I can't say I'll miss you.   But should you ever want to discuss evolution and creation in terms of actual science you will be welcome to return.",1
"If you had bothered to spend more than two seconds actually looking up what happened, you would've seen that Joe Horn was cleared of all wrong doings by a grand jury, not on the grounds of the new Castle Doctrine of Texas, but the already existing laws that permits the use of deadly force for preventing property crimes. These laws were on the books for years before Texas officially adopted the NRA endorsed Castle Doctrine.   And even so, what're you complaining about? Would you rather Joe Horn be the one killed and the criminals alive today?",1
"You mean to tell me you would deny a life to be lived out and someone to get away with a harmful crime?? wow, sounds like a liberal to me..",1
